codigo_ibge,nome,latitude,longitude,capital,codigo_uf,ddd
4307708,Esteio,-29.851747274683778,-51.17679726543736,False,43,51
3124500,Estiva,-22.458277266941476,-46.0139764743882,False,31,35
3557303,Estiva Gerbi,-22.23607371035534,-46.94307833263613,False,35,19
2104057,Estreito,-6.782495049946906,-47.20118005342082,False,21,99
4307807,Estrela,-29.508821528858032,-51.91988151080535,False,43,51
3515202,Estrela d'Oeste,-20.265742701679212,-50.411467923804295,False,35,17
3124609,Estrela Dalva,-21.70650292626556,-42.46708541689311,False,31,32
2702553,Estrela de Alagoas,-9.393437565892716,-36.7702385401451,False,27,82
3124708,Estrela do Indaiá,-19.59187829869388,-45.808317102453366,False,31,37
5207501,Estrela do Norte,-13.814164162866318,-49.08621963506462,False,52,62
3515301,Estrela do Norte,-22.48561123806168,-51.6690729844075,False,35,18
3124807,Estrela do Sul,-18.715129519094617,-47.726422657910625,False,31,34
4307815,Estrela Velha,-29.224025717809315,-53.17828055510921,False,43,51
2910701,Euclides da Cunha,-10.464200066261531,-38.91514100217014,False,29,75
3515350,Euclides da Cunha Paulista,-22.51896735564069,-52.5886045519596,False,35,18
4307831,Eugênio de Castro,-28.565554228394042,-54.24493677843763,False,43,55
3124906,Eugenópolis,-21.014021587664796,-42.223279972541874,False,31,32
2910727,Eunápolis,-16.29875172528412,-39.60611859984012,False,29,73
2304285,Eusébio,-3.875981162521362,-38.45759891818228,False,23,85
3125002,Ewbank da Câmara,-21.575050293065125,-43.56054990176581,False,31,32
3125101,Extrema,-22.825232464666858,-46.28965555514219,False,31,35
2403608,Extremoz,-5.680969343413279,-35.26866557904629,False,24,84
2605301,Exu,-7.5160229978083795,-39.74823186310371,False,26,87
2506103,Fagundes,-7.391235813688488,-35.7800709129102,False,25,83
4307864,Fagundes Varela,-28.886579013360503,-51.717487319206754,False,43,54
5207535,Faina,-15.435497991162364,-50.370561420672544,False,52,62
3125200,Fama,-21.465265203226593,-45.81416878781753,False,31,35
3125309,Faria Lemos,-20.781174384879073,-42.03565525986931,False,31,32
2304301,Farias Brito,-6.909455020043535,-39.54906829551233,False,23,88
1503002,Faro,-1.1591503957977907,-57.80590758582422,False,15,93
4107553,Farol,-24.12330842707028,-52.62884842010301,False,41,44
4307906,Farroupilha,-29.20986580287705,-51.36593404988632,False,43,54
3515400,Fartura,-23.390174765528233,-49.51968701837661,False,35,14
2203750,Fartura do Piauí,-9.475700851941916,-42.78397411453415,False,22,89
1707553,Fátima,-10.809757398521905,-48.87232658002935,False,17,63
2910750,Fátima,-10.596504948121872,-38.2022876996034,False,29,75
5003801,Fátima do Sul,-22.339312471286686,-54.440809351183844,False,50,67
4107603,Faxinal,-24.003339175605362,-51.28487644375003,False,41,43
4308003,Faxinal do Soturno,-29.55793374619858,-53.46288346170746,False,43,55
4205308,Faxinal dos Guedes,-26.846669473095776,-52.244322811087834,False,42,49
4308052,Faxinalzinho,-27.37529515912486,-52.67618915362153,False,43,54
5207600,Fazenda Nova,-16.151406084487977,-50.85759008179809,False,52,62
4107652,Fazenda Rio Grande,-25.676418521185656,-49.29741719802243,False,41,41
4308078,Fazenda Vilanova,-29.589125280873382,-51.83853819770882,False,43,51
1200302,Feijó,-8.92336061586036,-70.7439693375461,False,12,68
2910776,Feira da Mata,-14.13169210986136,-44.23216476140151,False,29,77
2910800,Feira de Santana,-12.193076440066593,-39.03398953570652,False,29,75
2702603,Feira Grande,-9.889320958216784,-36.662888593259694,False,27,82
2605400,Feira Nova,-7.952893399651663,-35.38324072608733,False,26,81
2802205,Feira Nova,-10.281904218785458,-37.33008077290158,False,28,79
2104073,Feira Nova do Maranhão,-7.018665635940802,-46.62674631491739,False,21,99
3125408,Felício dos Santos,-18.133175404469867,-43.2389192384861,False,31,38
2403707,Felipe Guerra,-5.534219582843707,-37.65309159167752,False,24,84
3125606,Felisburgo,-16.636060851094566,-40.7331273467822,False,31,33
3125705,Felixlândia,-18.703088878116084,-44.958192336028006,False,31,38
4308102,Feliz,-29.45511635991595,-51.28474335608208,False,43,51
2702702,Feliz Deserto,-10.283331806861097,-36.335913932219775,False,27,82
5103700,Feliz Natal,-11.932901240405805,-54.184803865126334,False,51,66
4107702,Fênix,-23.901113858574465,-52.02977218758975,False,41,44
4107736,Fernandes Pinheiro,-25.516610053716725,-50.510296376895184,False,41,42
3125804,Fernandes Tourinho,-19.101902691223966,-42.09654813461511,False,31,33
2605459,Fernando de Noronha,-3.854335137203649,-32.42409009896573,False,26,81
2104081,Fernando Falcão,-6.173799080002325,-45.306178414203636,False,21,99
2403756,Fernando Pedroza,-5.7605001453358,-36.39210518254558,False,24,84
3515608,Fernando Prestes,-21.310275228604272,-48.6956679130921,False,35,16
3515509,Fernandópolis,-20.271773836304643,-50.28301906356403,False,35,17
3515657,Fernão,-22.365789432752983,-49.54236306085958,False,35,14
3515707,Ferraz de Vasconcelos,-23.56103670538577,-46.3739257050365,False,35,11
1600238,Ferreira Gomes,0.9571043186664335,-51.41735134938589,False,16,96
2605509,Ferreiros,-7.478456682134461,-35.24458836045537,False,26,81
3125903,Ferros,-19.245524919850325,-42.94015692445975,False,31,31
3125952,Fervedouro,-20.680719869089387,-42.34690420926176,False,31,32
4107751,Figueira,-23.876180802716064,-50.43029949226398,False,41,43
5003900,Figueirão,-18.74443881315016,-53.86243595946543,False,50,67
1707652,Figueirópolis,-12.263470563304153,-49.28279236469811,False,17,63
5103809,Figueirópolis D'Oeste,-15.527386370593367,-58.702574636225236,False,51,65
1707702,Filadélfia,-7.496680434706918,-47.793747944233914,False,17,63
2910859,Filadélfia,-10.72320978887726,-40.136914882743135,False,29,74
2910909,Firmino Alves,-14.930819942976564,-39.91131317391886,False,29,73
5207808,Firminópolis,-16.63993169316825,-50.31284657149075,False,52,64
2702801,Flexeiras,-9.245142366044256,-35.7638872484554,False,27,82
4107850,Flor da Serra do Sul,-26.23724421960207,-53.293178161453284,False,41,46
